COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f68f470b.cif
COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f5730946.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-154bca43.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-4dad451f.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-9071dd3c.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0376ad44.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0f522a61.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-5ae35fee.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d4ac42c3.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-debab1d1.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-e690a552.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d0043cd9.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-faf4b0ce.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-768ec1fc.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-5988e8f5.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-c9d6198a.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-24fb17a6.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-e2e85b06.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-bcdacbc1.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d8b79e1d.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-1234ef76.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-36aca08d.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-a6a4791e.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-a3830ebe.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-66b47ca4.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-4e1ea2e6.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-7ece83ce.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1 O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-e4c0069f.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0533905e.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-5eb6a359.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-b2fd9362.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-33a8ff36.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-66ebc81b.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ad098375.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-91356c90.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f49bed69.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-a291a5e2.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ccc6ae42.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f1041b0e.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-cbff3000.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-a3129b77.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-b0a5af60.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1 O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-b032574d.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-cbcb6dc6.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-6ee45aa6.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-bd070d05.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-71b495c6.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d8dc2df7.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-30d3987b.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-4ceee026.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-56f407e0.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ff7d7fd8.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-a573f6bf.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)SC#N O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-49a1cfa9.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-517fd94c.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0b3e30d1.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-1eda72b2.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-07d77cad.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-67c9990a.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ca044939.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-4b9988c4.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-74ba0d6e.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-bacd03bb.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-9d21d656.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-960d9ae5.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-50702b44.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-93e50c33.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-84f479db.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ac3dba15.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-728432c2.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-11819273.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-42846dd6.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-4b1f007d.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-8dd80afe.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-11c6c085.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0c8ddb26.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-fe268ee6.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f5ddd7bd.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-eb705fb1.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)N(=O)=O O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-c7e8eefe.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-979e2bd5.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d7963d75.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-4c69e408.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ff9b753c.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-11bdd768.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-b44a6eb2.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-8019f08c.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-2d805318.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-6cbf3e4e.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f325df90.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-b372ea5e.cif

